lat,lon,depth
45.1792,12.2042,-0.0
45.1792,12.2083,-0.0
45.1792,12.2125,-0.0
45.1792,12.2167,-0.0
45.1792,12.2208,-0.0
45.1792,12.225,-0.0
45.1792,12.2292,-0.0
45.1792,12.2333,-0.0
45.1792,12.2375,-0.0
45.1792,12.2417,-0.0
45.1792,12.2458,-0.0
45.1792,12.25,-0.0
45.1792,12.2542,-0.0
45.1792,12.2583,-0.0
45.1792,12.2625,-0.0
45.1792,12.2667,-0.0
45.1792,12.2708,-0.0
45.1792,12.275,-0.0
45.1792,12.2792,-0.0
45.1792,12.2833,-0.0
45.1792,12.2875,-0.0
45.1792,12.2917,-0.0
45.1792,12.2958,-0.0
45.1792,12.3,0.5885
45.1792,12.3042,-0.0
45.1792,12.3083,-0.0
45.1792,12.3125,-0.0
45.1792,12.3167,-0.0
45.1792,12.3208,0.0986
45.1792,12.325,-1.5818
45.1792,12.3292,-3.9252
45.1792,12.3333,-6.3424
45.1792,12.3375,-8.8395
45.1792,12.3417,-11.4144
45.1792,12.3458,-13.6698
45.1792,12.35,-14.5103
45.1792,12.3542,-14.8962
45.1792,12.3583,-15.385
45.1792,12.3625,-16.2808
45.1792,12.3667,-17.3117
45.1792,12.3708,-18.1219
45.1792,12.375,-19.0797
45.1792,12.3792,-19.8844
45.1792,12.3833,-20.4219
45.1792,12.3875,-20.8253
45.1792,12.3917,-21.1518
45.1792,12.3958,-21.4463
45.1792,12.4,-21.7315
45.1792,12.4042,-22.0157
45.1792,12.4083,-22.2606
45.1792,12.4125,-22.4979
45.1792,12.4167,-22.8016
45.1792,12.4208,-23.3544
45.1792,12.425,-24.0236
45.1792,12.4292,-24.3174
45.1792,12.4333,-24.5016
45.1792,12.4375,-24.6835
45.1792,12.4417,-24.8323
45.1792,12.4458,-24.905
45.1792,12.45,-24.9268
45.1792,12.4542,-24.9457
45.1792,12.4583,-24.9597
45.1792,12.4625,-24.933
45.1792,12.4667,-24.8398
45.1792,12.4708,-24.7736
45.1792,12.475,-24.8311
45.1792,12.4792,-24.8594
45.1792,12.4833,-24.8934
45.1792,12.4875,-24.963
45.1792,12.4917,-24.991
45.1792,12.4958,-25.1949
45.1792,12.5,-25.904
45.1792,12.5042,-26.1766
45.1792,12.5083,-26.3217
45.1792,12.5125,-26.4451
45.1792,12.5167,-26.4914
45.1792,12.5208,-26.456
45.1792,12.525,-26.3823
45.1792,12.5292,-26.2772
45.1792,12.5333,-26.1507
45.1792,12.5375,-25.9808
45.1792,12.5417,-25.6923
45.1792,12.5458,-25.3622
45.1792,12.55,-25.0697
45.1792,12.5542,-24.8831
45.1792,12.5583,-24.781
45.1792,12.5625,-24.7131
45.1792,12.5667,-24.6774
45.1792,12.5708,-24.6961
45.1792,12.575,-24.7601
45.1792,12.5792,-24.8732
45.1833,12.1208,-0.0
45.1833,12.125,-0.0
45.1833,12.1292,-0.0
45.1833,12.1333,-0.0
45.1833,12.1375,-0.0
45.1833,12.1417,-0.0
45.1833,12.1458,-0.0
45.1833,12.15,-0.0
45.1833,12.1542,-0.0
45.1833,12.1583,-0.0
45.1833,12.1625,-0.0
45.1833,12.1667,-0.0
45.1833,12.1708,-0.0
45.1833,12.175,-0.0
45.1833,12.1792,-0.0
45.1833,12.1833,-0.0
45.1833,12.1875,-0.0
45.1833,12.1917,-0.0
45.1833,12.1958,-0.0
45.1833,12.2,-0.0
45.1833,12.2042,-0.0
45.1833,12.2083,-0.0
45.1833,12.2125,-0.0
45.1833,12.2167,-0.0
45.1833,12.2208,-0.0
45.1833,12.225,-0.0
45.1833,12.2292,-0.0
45.1833,12.2333,-0.0
45.1833,12.2375,-0.0
45.1833,12.2417,-0.0
45.1833,12.2458,-0.0
45.1833,12.25,-0.0
45.1833,12.2542,-0.0
45.1833,12.2583,-0.0
45.1833,12.2625,-0.0
45.1833,12.2667,-0.0
45.1833,12.2708,-0.0
45.1833,12.275,-0.0
45.1833,12.2792,-0.0
45.1833,12.2833,-0.0
45.1833,12.2875,-0.0
45.1833,12.2917,-0.0
45.1833,12.2958,-0.0
45.1833,12.3,-0.0
45.1833,12.3042,-0.0
45.1833,12.3083,0.5464
45.1833,12.3125,0.5469
45.1833,12.3167,0.4347
45.1833,12.3208,-1.0328
45.1833,12.325,-3.0904
45.1833,12.3292,-5.4673
45.1833,12.3333,-7.9093
45.1833,12.3375,-10.3065
45.1833,12.3417,-12.4638
45.1833,12.3458,-13.9743
45.1833,12.35,-14.5956
45.1833,12.3542,-14.8545
45.1833,12.3583,-15.3862
45.1833,12.3625,-16.3056
45.1833,12.3667,-17.2959
45.1833,12.3708,-18.0507
45.1833,12.375,-18.9111
45.1833,12.3792,-19.6284
45.1833,12.3833,-20.216
45.1833,12.3875,-20.6644
45.1833,12.3917,-21.0364
45.1833,12.3958,-21.3656
45.1833,12.4,-21.6627
45.1833,12.4042,-21.9312
45.1833,12.4083,-22.1656
45.1833,12.4125,-22.3835
45.1833,12.4167,-22.6407
45.1833,12.4208,-23.0284
45.1833,12.425,-23.5969
45.1833,12.4292,-24.0002
45.1833,12.4333,-24.2561
45.1833,12.4375,-24.5602
45.1833,12.4417,-24.8189
45.1833,12.4458,-24.9277
45.1833,12.45,-24.9549
45.1833,12.4542,-25.0126
45.1833,12.4583,-25.0755
45.1833,12.4625,-25.0929
45.1833,12.4667,-25.065
45.1833,12.4708,-25.0571
45.1833,12.475,-25.0885
45.1833,12.4792,-25.0826
45.1833,12.4833,-25.0454
45.1833,12.4875,-25.0187
45.1833,12.4917,-25.0187
45.1833,12.4958,-25.1725
45.1833,12.5,-25.7178
45.1833,12.5042,-26.1129
45.1833,12.5083,-26.3331
45.1833,12.5125,-26.481
45.1833,12.5167,-26.5621
45.1833,12.5208,-26.5809
45.1833,12.525,-26.5591
45.1833,12.5292,-26.5093
45.1833,12.5333,-26.4382
45.1833,12.5375,-26.3339
45.1833,12.5417,-26.1723
45.1833,12.5458,-25.9695
45.1833,12.55,-25.7107
45.1833,12.5542,-25.4445
45.1833,12.5583,-25.1831
45.1833,12.5625,-25.0127
45.1833,12.5667,-24.8865
45.1833,12.5708,-24.8347
45.1833,12.575,-24.8311
45.1833,12.5792,-24.9159
45.1875,12.1208,-0.0
45.1875,12.125,-0.0
45.1875,12.1292,-0.0
45.1875,12.1333,-0.0
45.1875,12.1375,-0.0
45.1875,12.1417,-0.0
45.1875,12.1458,-0.0
45.1875,12.15,-0.0
45.1875,12.1542,-0.0
45.1875,12.1583,-0.0
45.1875,12.1625,-0.0
45.1875,12.1667,-0.0
45.1875,12.1708,-0.0
45.1875,12.175,-0.0
45.1875,12.1792,-0.0
45.1875,12.1833,-0.0
45.1875,12.1875,-0.0
45.1875,12.1917,-0.0
45.1875,12.1958,-0.0
45.1875,12.2,-0.0
45.1875,12.2042,-0.0
45.1875,12.2083,-0.0
45.1875,12.2125,-0.0
45.1875,12.2167,-0.0
45.1875,12.2208,-0.0
45.1875,12.225,-0.0
45.1875,12.2292,-0.0
45.1875,12.2333,-0.0
45.1875,12.2375,-0.0
45.1875,12.2417,-0.0
45.1875,12.2458,-0.0
45.1875,12.25,-1.0603
45.1875,12.2542,-0.9126
45.1875,12.2583,-0.5688
45.1875,12.2625,-0.1816
45.1875,12.2667,-0.1097
45.1875,12.2708,-1.1027
45.1875,12.275,-0.0
45.1875,12.2792,-0.0
45.1875,12.2833,-0.0
45.1875,12.2875,-0.0
45.1875,12.2917,-0.0
45.1875,12.2958,-0.0
45.1875,12.3,-0.0
45.1875,12.3042,-0.0
45.1875,12.3083,0.444
45.1875,12.3125,-0.0724
45.1875,12.3167,-0.7295
45.1875,12.3208,-2.6377
45.1875,12.325,-4.8028
45.1875,12.3292,-7.0716
45.1875,12.3333,-9.369
45.1875,12.3375,-11.5843
45.1875,12.3417,-13.4343
45.1875,12.3458,-14.3675
45.1875,12.35,-14.6839
45.1875,12.3542,-14.8374
45.1875,12.3583,-15.4159
45.1875,12.3625,-16.2883
45.1875,12.3667,-17.2556
45.1875,12.3708,-18.0408
45.1875,12.375,-18.7521
45.1875,12.3792,-19.3952
45.1875,12.3833,-19.9927
45.1875,12.3875,-20.4887
45.1875,12.3917,-20.9261
45.1875,12.3958,-21.2925
45.1875,12.4,-21.6169
45.1875,12.4042,-21.8993
45.1875,12.4083,-22.1401
45.1875,12.4125,-22.3508
45.1875,12.4167,-22.5753
45.1875,12.4208,-22.8677
45.1875,12.425,-23.2705
45.1875,12.4292,-23.6571
45.1875,12.4333,-23.9802
45.1875,12.4375,-24.4352
45.1875,12.4417,-24.8482
45.1875,12.4458,-24.9867
45.1875,12.45,-24.9986
45.1875,12.4542,-25.1108
45.1875,12.4583,-25.1847
45.1875,12.4625,-25.2025
45.1875,12.4667,-25.1848
45.1875,12.4708,-25.1703
45.1875,12.475,-25.1664
45.1875,12.4792,-25.1401
45.1875,12.4833,-25.0842
45.1875,12.4875,-25.0156
45.1875,12.4917,-24.9605
45.1875,12.4958,-24.9682
45.1875,12.5,-25.3103
45.1875,12.5042,-25.7841
45.1875,12.5083,-26.1457
45.1875,12.5125,-26.3837
45.1875,12.5167,-26.5346
45.1875,12.5208,-26.6147
45.1875,12.525,-26.6468
45.1875,12.5292,-26.6473
45.1875,12.5333,-26.6233
45.1875,12.5375,-26.5712
45.1875,12.5417,-26.4847
45.1875,12.5458,-26.3707
45.1875,12.55,-26.2333
45.1875,12.5542,-26.0778
45.1875,12.5583,-25.8634
45.1875,12.5625,-25.6193
45.1875,12.5667,-25.4019
45.1875,12.5708,-25.1707
45.1875,12.575,-25.0096
45.1875,12.5792,-24.9693
45.1917,12.1208,-0.0
45.1917,12.125,-0.0
45.1917,12.1292,-0.0
45.1917,12.1333,-0.0
45.1917,12.1375,-0.0
45.1917,12.1417,-0.0
45.1917,12.1458,-0.0
45.1917,12.15,-0.0
45.1917,12.1542,-0.0
45.1917,12.1583,-0.0
45.1917,12.1625,-0.0
45.1917,12.1667,-0.0
45.1917,12.1708,-0.0
45.1917,12.175,-0.0
45.1917,12.1792,-0.0
45.1917,12.1833,-0.0
45.1917,12.1875,-0.0
45.1917,12.1917,-0.0
45.1917,12.1958,-0.0
45.1917,12.2,-0.0
45.1917,12.2042,-0.0
45.1917,12.2083,-0.0
45.1917,12.2125,-0.0
45.1917,12.2167,-0.0
45.1917,12.2208,-0.0
45.1917,12.225,-0.0
45.1917,12.2292,-0.0
45.1917,12.2333,-0.0
45.1917,12.2375,-0.4548
45.1917,12.2417,-0.6705
45.1917,12.2458,-0.9872
45.1917,12.25,-1.0354
45.1917,12.2542,-0.9333
45.1917,12.2583,-0.6735
45.1917,12.2625,-0.3404
45.1917,12.2667,-0.1322
45.1917,12.2708,-0.0
45.1917,12.275,-1.6367
45.1917,12.2792,-0.0
45.1917,12.2833,-0.0
45.1917,12.2875,-0.0
45.1917,12.2917,-0.0
45.1917,12.2958,-0.0
45.1917,12.3,-0.0
45.1917,12.3042,-0.0
45.1917,12.3083,-0.2739
45.1917,12.3125,-1.4387
45.1917,12.3167,-2.813
45.1917,12.3208,-4.7715
45.1917,12.325,-6.6769
45.1917,12.3292,-8.6289
45.1917,12.3333,-10.6444
45.1917,12.3375,-12.6408
45.1917,12.3417,-14.3527
45.1917,12.3458,-14.7558
45.1917,12.35,-14.7938
45.1917,12.3542,-14.8582
45.1917,12.3583,-15.4344
45.1917,12.3625,-16.2726
45.1917,12.3667,-17.1959
45.1917,12.3708,-17.9629
45.1917,12.375,-18.5845
45.1917,12.3792,-19.1543
45.1917,12.3833,-19.7462
45.1917,12.3875,-20.2949
45.1917,12.3917,-20.7902
45.1917,12.3958,-21.2094
45.1917,12.4,-21.5866
45.1917,12.4042,-21.9185
45.1917,12.4083,-22.1657
45.1917,12.4125,-22.3693
45.1917,12.4167,-22.5707
45.1917,12.4208,-22.8025
45.1917,12.425,-23.0836
45.1917,12.4292,-23.4457
45.1917,12.4333,-23.8146
45.1917,12.4375,-24.2996
45.1917,12.4417,-24.8447
45.1917,12.4458,-25.0817
45.1917,12.45,-25.1767
45.1917,12.4542,-25.265
45.1917,12.4583,-25.2982
45.1917,12.4625,-25.2767
45.1917,12.4667,-25.2311
45.1917,12.4708,-25.191
45.1917,12.475,-25.1663
45.1917,12.4792,-25.1397
45.1917,12.4833,-25.0963
45.1917,12.4875,-25.04
45.1917,12.4917,-24.9878
45.1917,12.4958,-24.9375
45.1917,12.5,-25.0216
45.1917,12.5042,-25.3601
45.1917,12.5083,-25.7621
45.1917,12.5125,-26.1376
45.1917,12.5167,-26.3966
45.1917,12.5208,-26.556
45.1917,12.525,-26.6507
45.1917,12.5292,-26.7052
45.1917,12.5333,-26.729
45.1917,12.5375,-26.7211
45.1917,12.5417,-26.682
45.1917,12.5458,-26.6184
45.1917,12.55,-26.5362
45.1917,12.5542,-26.4355
45.1917,12.5583,-26.3057
45.1917,12.5625,-26.1709
45.1917,12.5667,-26.0123
45.1917,12.5708,-25.7821
45.1917,12.575,-25.5724
45.1917,12.5792,-25.4755
45.1958,12.1208,-0.0
45.1958,12.125,-0.0
45.1958,12.1292,-0.0
45.1958,12.1333,-0.0
45.1958,12.1375,-0.0
45.1958,12.1417,-0.0
45.1958,12.1458,-0.0
45.1958,12.15,-0.0
45.1958,12.1542,-0.0
45.1958,12.1583,-0.0
45.1958,12.1625,-0.0
45.1958,12.1667,-0.0
45.1958,12.1708,-0.0
45.1958,12.175,-0.0
45.1958,12.1792,-0.0
45.1958,12.1833,-0.0
45.1958,12.1875,-0.0
45.1958,12.1917,-0.0
45.1958,12.1958,-0.0
45.1958,12.2,-0.0
45.1958,12.2042,-0.0
